date,store_id,product_id,product_name,category,region,quantity_sold,unit_price,total_sales
2025-05-19,104,701,Anchor Full Cream 1L,Dairy,Southern,40,2.8,112.0
2025-05-08,101,502,Pepsi 500ml,Beverages,Northern,29,1.4,40.6
2025-05-23,102,801,Kist Mango Jam 500g,Food,Western,42,2.2,92.4
2025-05-10,104,501,Coca-Cola 500ml,Beverages,Central,27,1.5,40.5
2025-05-15,103,801,Kist Mango Jam 500g,Food,Western,42,2.2,92.4
2025-05-21,101,801,Kist Mango Jam 500g,Food,Central,49,2.2,107.8
2025-05-11,104,501,Coca-Cola 500ml,Beverages,Eastern,17,1.5,25.5
2025-05-27,105,802,Maliban Marie 400g,Food,Eastern,12,1.6,19.2
2025-05-06,103,802,Maliban Marie 400g,Food,Western,29,1.6,46.4
2025-05-07,103,501,Coca-Cola 500ml,Beverages,Central,39,1.5,58.5
2025-05-06,101,501,Coca-Cola 500ml,Beverages,Western,39,1.5,58.5
2025-05-25,103,601,Sunlight Detergent 1kg,Household,Central,38,3.0,114.0
2025-05-30,104,802,Maliban Marie 400g,Food,Northern,17,1.6,27.2
2025-05-07,103,601,Sunlight Detergent 1kg,Household,Western,43,3.0,129.0
2025-05-02,101,901,Signal Toothpaste 120g,Toiletries,Eastern,20,2.5,50.0
2025-05-14,102,502,Pepsi 500ml,Beverages,Central,7,1.4,9.8
2025-05-07,104,802,Maliban Marie 400g,Food,Central,14,1.6,22.4
2025-05-15,104,802,Maliban Marie 400g,Food,Northern,48,1.6,76.8
2025-05-28,104,901,Signal Toothpaste 120g,Toiletries,Central,49,2.5,122.5
2025-05-20,101,502,Pepsi 500ml,Beverages,Central,2,1.4,2.8
2025-05-19,101,701,Anchor Full Cream 1L,Dairy,Central,11,2.8,30.8
2025-05-30,103,502,Pepsi 500ml,Beverages,Eastern,40,1.4,56.0
2025-05-24,102,502,Pepsi 500ml,Beverages,Eastern,49,1.4,68.6
2025-05-20,104,601,Sunlight Detergent 1kg,Household,Northern,43,3.0,129.0
2025-05-14,101,801,Kist Mango Jam 500g,Food,Central,16,2.2,35.2
2025-05-27,101,802,Maliban Marie 400g,Food,Southern,47,1.6,75.2
2025-05-13,105,501,Coca-Cola 500ml,Beverages,Eastern,40,1.5,60.0
2025-05-05,103,502,Pepsi 500ml,Beverages,Central,26,1.4,36.4
2025-05-11,103,701,Anchor Full Cream 1L,Dairy,Central,39,2.8,109.2
2025-05-14,103,501,Coca-Cola 500ml,Beverages,Central,13,1.5,19.5
2025-05-05,103,601,Sunlight Detergent 1kg,Household,Central,24,3.0,72.0
2025-05-18,103,502,Pepsi 500ml,Beverages,Northern,15,1.4,21.0
2025-05-17,104,801,Kist Mango Jam 500g,Food,Southern,44,2.2,96.8
2025-05-04,105,601,Sunlight Detergent 1kg,Household,Eastern,40,3.0,120.0
2025-05-01,101,502,Pepsi 500ml,Beverages,Western,12,1.4,16.8
2025-05-22,105,601,Sunlight Detergent 1kg,Household,Central,12,3.0,36.0
2025-05-04,105,601,Sunlight Detergent 1kg,Household,Central,1,3.0,3.0
2025-05-17,103,601,Sunlight Detergent 1kg,Household,Central,38,3.0,114.0
2025-05-01,102,901,Signal Toothpaste 120g,Toiletries,Northern,5,2.5,12.5
2025-05-11,104,801,Kist Mango Jam 500g,Food,Northern,43,2.2,94.6
2025-05-01,105,601,Sunlight Detergent 1kg,Household,Northern,3,3.0,9.0
2025-05-07,105,801,Kist Mango Jam 500g,Food,Northern,33,2.2,72.6
2025-05-27,105,901,Signal Toothpaste 120g,Toiletries,Central,50,2.5,125.0
2025-05-11,104,502,Pepsi 500ml,Beverages,Southern,36,1.4,50.4
2025-05-06,103,901,Signal Toothpaste 120g,Toiletries,Southern,14,2.5,35.0
2025-05-28,101,701,Anchor Full Cream 1L,Dairy,Southern,47,2.8,131.6
2025-05-21,101,502,Pepsi 500ml,Beverages,Northern,14,1.4,19.6
2025-05-18,105,701,Anchor Full Cream 1L,Dairy,Southern,28,2.8,78.4
2025-05-09,101,802,Maliban Marie 400g,Food,Eastern,34,1.6,54.4
2025-05-27,101,801,Kist Mango Jam 500g,Food,Northern,26,2.2,57.2
2025-05-21,104,502,Pepsi 500ml,Beverages,Western,1,1.4,1.4
2025-05-21,102,601,Sunlight Detergent 1kg,Household,Western,49,3.0,147.0
2025-05-22,102,801,Kist Mango Jam 500g,Food,Western,34,2.2,74.8
2025-05-15,103,801,Kist Mango Jam 500g,Food,Central,43,2.2,94.6
2025-05-24,102,901,Signal Toothpaste 120g,Toiletries,Eastern,17,2.5,42.5
2025-05-15,102,901,Signal Toothpaste 120g,Toiletries,Western,26,2.5,65.0
2025-05-14,103,901,Signal Toothpaste 120g,Toiletries,Central,17,2.5,42.5
2025-05-16,105,502,Pepsi 500ml,Beverages,Western,2,1.4,2.8
2025-05-13,104,901,Signal Toothpaste 120g,Toiletries,Southern,31,2.5,77.5
2025-05-06,104,801,Kist Mango Jam 500g,Food,Central,15,2.2,33.0
2025-05-17,104,601,Sunlight Detergent 1kg,Household,Central,35,3.0,105.0
2025-05-26,101,701,Anchor Full Cream 1L,Dairy,Southern,9,2.8,25.2
2025-05-29,105,501,Coca-Cola 500ml,Beverages,Eastern,36,1.5,54.0
2025-05-03,101,802,Maliban Marie 400g,Food,Central,14,1.6,22.4
2025-05-02,105,802,Maliban Marie 400g,Food,Northern,49,1.6,78.4
2025-05-26,104,601,Sunlight Detergent 1kg,Household,Southern,32,3.0,96.0
2025-05-30,105,501,Coca-Cola 500ml,Beverages,Central,33,1.5,49.5
2025-05-30,105,501,Coca-Cola 500ml,Beverages,Central,42,1.5,63.0
2025-05-03,102,802,Maliban Marie 400g,Food,Western,8,1.6,12.8
2025-05-15,105,901,Signal Toothpaste 120g,Toiletries,Northern,30,2.5,75.0
2025-05-21,101,501,Coca-Cola 500ml,Beverages,Western,48,1.5,72.0
2025-05-21,105,501,Coca-Cola 500ml,Beverages,Western,15,1.5,22.5
2025-05-28,105,601,Sunlight Detergent 1kg,Household,Western,45,3.0,135.0
2025-05-19,105,801,Kist Mango Jam 500g,Food,Eastern,23,2.2,50.6
2025-05-14,102,701,Anchor Full Cream 1L,Dairy,Eastern,26,2.8,72.8
2025-05-17,103,901,Signal Toothpaste 120g,Toiletries,Central,28,2.5,70.0
2025-05-25,105,802,Maliban Marie 400g,Food,Central,32,1.6,51.2
2025-05-23,105,601,Sunlight Detergent 1kg,Household,Southern,19,3.0,57.0
